2018-09-20 14:40:15.4759 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #fb8c3dd2' started. 

2018-09-20 14:40:15.5019 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3169888b' started. 

2018-09-20 14:41:07.1389 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #797c6337' started. 

2018-09-20 14:41:07.1639 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #7771f1c2' started. 

2018-09-20 14:41:07.1669 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ee423134' started. 

2018-09-20 14:41:07.1669 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #0050e11c' started. 

2018-09-20 14:41:07.1849 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #899299c4' started. 

2018-09-20 14:41:07.1849 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3bde035c' started. 

2018-09-20 14:41:07.1969 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ead54e95' started. 

2018-09-20 14:41:07.1969 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9bd2115b' started. 

2018-09-20 14:41:07.1969 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #68a18dcc' started. 

2018-09-20 14:41:07.2289 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #4a96b079' started. 

2018-09-20 14:41:07.2289 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3af1b270' started. 

2018-09-20 14:41:07.2649 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #8667f992' started. 

2018-09-20 14:41:07.2889 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #df0a2876' started. 

2018-09-20 14:41:07.2979 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #2fec8143' started. 

2018-09-20 14:41:07.3049 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #35db63f9' started. 

2018-09-20 14:41:07.3309 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e8970a21' started. 

2018-09-20 14:41:07.3309 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #1b4b56e0' started. 

2018-09-20 14:41:07.3389 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b1bc4966' started. 

2018-09-20 14:41:07.3619 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #f97e2e53' started. 

2018-09-20 14:41:07.3749 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #4fb335bd' started. 

2018-09-20 14:51:53.3909 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #cb1f1989' started. 

2018-09-20 14:51:53.4199 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #cf16dad2' started. 

2018-09-20 14:51:53.4399 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #14148174' started. 

2018-09-20 14:51:53.4399 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #f12006fa' started. 

2018-09-20 14:51:53.4199 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #64471c5e' started. 

2018-09-20 14:51:53.4899 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b90736e5' started. 

2018-09-20 14:51:53.5139 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #fbcdf345' started. 

2018-09-20 14:51:53.4669 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a6a4a8b5' started. 

2018-09-20 14:51:53.5479 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #5a106405' started. 

2018-09-20 14:51:53.5479 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #8d1860b4' started. 

2018-09-20 14:51:53.5369 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #779f35b9' started. 

