2018-09-21 12:58:05.2271 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #1752147d' started. 

2018-09-21 12:58:05.2431 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #eda5d4e8' started. 

2018-09-21 12:58:05.3131 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #f1328523' started. 

2018-09-21 12:58:05.2841 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3cfed946' started. 

2018-09-21 12:58:05.2891 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #7647e774' started. 

2018-09-21 12:58:05.3441 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #f0083bef' started. 

2018-09-21 12:58:05.3691 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a4ebe9f4' started. 

2018-09-21 12:58:05.4011 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ca8ec8a5' started. 

2018-09-21 12:58:05.4231 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #87996a80' started. 

2018-09-21 12:58:05.4511 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d81ecb7b' started. 

